Season,Position,Position Group,Conference,Height (inches),Weight(lbs),Hand (inches),Wingspan (inches),40-Yard Dash (seconds),Vertical (inches),Bench (reps),Broad Jump (inches),3-Cone (seconds),Shuttle (seconds),Combine Participation,FPI,Efficiencies Overall,CFP Appearance,National Award,Actual Draft Tier,Actual Target,Predicted Probability,Cumulative Actual Captured,Percent of Players Reviewed,Percent of Actual Tier Captured
2024,EDGE,DL,SEC,74.75,247,9.875,83.0,4.46,40.5,23,127.0,7.39,4.31,1,24.925,84.968,0,1,Round 1,1,0.8509522567627777,1,0.4132231404958678,4.166666666666666
2025,QB,Skill,ACC,73.625,219,9.0,75.75,4.28,43.0,22,138.0,8.19,4.97,0,17.338,77.097,1,1,Round 1,1,0.8124203754996537,2,0.8264462809917356,8.333333333333332
2023,CB,Secondary,Pac-12,73.375,197,9.5,76.875,4.38,41.5,14,133.0,6.89,4.26,1,14.225,78.17,0,1,Round 1,1,0.7537104617099619,3,1.2396694214876034,12.5
2024,OT,OL,Pac-12,77.75,324,10.125,80.625,5.13,32.0,30,111.0,7.81,4.63,1,13.996,79.392,0,1,Round 1,1,0.7387710193474875,4,1.6528925619834711,16.666666666666664
2025,OT,OL,SEC,77.125,315,10.375,84.375,5.16,32.0,14,104.0,7.81,4.66,1,26.107,88.25,0,1,Round 1,1,0.7339996158734841,5,2.066115702479339,20.833333333333336
2023,CB,Secondary,SEC,71.625,190,9.5,78.125,4.58,34.5,14,125.0,6.51,4.3,1,27.296,89.526,1,1,Rounds 2-3,0,0.6533114330657366,5,2.479338842975207,20.833333333333336
2024,DL,DL,Big 12,76.5,366,10.125,81.25,5.27,26.0,27,98.0,8.74,5.46,1,23.196,86.583,1,1,Rounds 2-3,0,0.6312827375219067,5,2.8925619834710745,20.833333333333336
2023,DL,DL,SEC,75.0,314,10.25,81.0,5.13,29.0,25,106.0,7.65,4.82,0,29.908,93.511,0,1,Round 1,1,0.6032744925513905,6,3.3057851239669422,25.0
2025,WR,Skill,Big Ten,72.875,202,9.5,76.625,4.54,37.82,11,125.3,7.41,4.55,0,24.823,87.333,1,1,Round 1,1,0.5764931044501765,7,3.71900826446281,29.166666666666668
2023,EDGE,DL,ACC,77.0,268,8.5,81.25,4.62,32.0,25,117.0,7.36,4.44,1,17.553,74.958,0,1,Round 1,1,0.5711922659754319,8,4.132231404958678,33.33333333333333
2024,QB,Skill,Pac-12,74.25,216,10.5,81.0,4.79,32.5,17,112.0,7.04,4.26,0,17.544,82.666,0,1,Round 1,1,0.5528690949957923,9,4.545454545454546,37.5
2023,LB,LB,Big Ten,76.625,249,10.25,78.25,4.65,37.5,29,128.0,6.74,4.24,1,7.409,67.111,0,1,Round 1,1,0.5463229584814844,10,4.958677685950414,41.66666666666667
2025,IOL,OL,Big Ten,75.625,315,9.75,83.75,4.28,24.5,11,102.1,6.65,4.03,0,24.823,87.333,1,1,Round 1,1,0.5451362907145466,11,5.371900826446281,45.83333333333333
2025,WR,Skill,SEC,74.375,205,9.5,78.25,4.54,38.5,15,125.0,6.93,4.05,1,20.608,84.235,1,1,Rounds 2-3,0,0.5339197706506387,11,5.785123966942149,45.83333333333333
2023,RB,Skill,Big 12,71.0,215,9.75,74.75,4.46,37.0,20,124.0,6.77,4.26,1,19.379,79.1,1,1,Round 1,1,0.5114361997931915,12,6.198347107438017,50.0
2024,WR,Skill,ACC,75.25,213,9.375,78.125,4.61,38.0,15,127.0,6.84,4.1,1,19.915,83.68,0,1,Rounds 2-3,0,0.5062419039511117,12,6.6115702479338845,50.0
2025,RB,Skill,ACC,71.625,217,9.5,75.25,4.51,35.0,33,124.0,6.95,4.97,1,17.338,77.097,1,1,Rounds 6-7,0,0.4887123219477246,12,7.024793388429752,50.0
2025,EDGE,DL,SEC,74.75,257,10.0,80.875,4.28,35.8,15,93.0,6.65,4.03,0,14.297,76.763,1,1,Rounds 2-3,0,0.45904249497626526,12,7.43801652892562,50.0
2024,S,Secondary,Big Ten,73.25,199,9.0,77.5,4.52,37.0,14,124.0,7.01,4.98,0,-0.564,45.156,0,1,Rounds 2-3,0,0.39740527131413766,12,7.851239669421488,50.0
2025,DL,DL,SEC,79.375,331,10.5,84.125,5.45,25.0,33,104.0,6.65,4.03,1,4.707,54.684,0,1,Rounds 4-5,0,0.3598657329372484,12,8.264462809917356,50.0
2025,LB,LB,SEC,73.0,243,10.25,79.875,4.75,24.5,11,115.3,6.88,4.03,0,22.091,82.861,1,1,Round 1,1,0.35193187909808865,13,8.677685950413224,54.166666666666664
2023,LB,LB,AAC,70.5,231,9.5,72.0,4.55,33.5,22,119.0,7.44,4.41,0,6.451,60.989,0,1,Undrafted,0,0.3319260094261923,13,9.090909090909092,54.166666666666664
2025,CB,Secondary,Big 12,72.375,188,9.125,76.875,4.43,43.0,12,105.0,8.19,4.94,0,12.691,74.938,0,1,Round 1,1,0.3300060920896851,14,9.50413223140496,58.333333333333336
2024,OT,OL,Big Ten,76.875,314,10.75,82.625,5.15,31.0,30,116.0,7.92,4.64,1,25.618,85.731,1,0,Rounds 2-3,0,0.3035933341980118,14,9.917355371900827,58.333333333333336
2025,DL,DL,SEC,76.375,302,10.375,81.625,4.28,24.5,33,138.0,6.65,4.6,0,23.933,85.057,1,0,Rounds 6-7,0,0.29058713241849543,14,10.330578512396695,58.333333333333336
2025,WR,Skill,SEC,72.0,206,8.5,76.5,4.41,29.17,12,115.9,7.33,4.11,1,12.197,68.028,0,1,Rounds 2-3,0,0.28751555916062904,14,10.743801652892563,58.333333333333336
2024,LB,LB,ACC,75.875,233,9.0,75.75,4.43,34.5,18,119.0,7.29,4.43,1,6.943,65.952,0,1,Rounds 4-5,0,0.2786191950997833,14,11.15702479338843,58.333333333333336
2025,DL,DL,SEC,75.125,290,10.25,81.125,5.45,43.0,33,138.0,6.65,4.97,0,14.297,76.763,1,0,Rounds 2-3,0,0.2774771777333609,14,11.570247933884298,58.333333333333336
2024,OT,OL,SEC,79.75,340,11.25,86.75,5.07,25.5,30,111.0,7.46,4.41,1,24.777,87.417,1,0,Round 1,1,0.23187436755136934,15,11.983471074380166,62.5
2025,EDGE,DL,SEC,76.25,243,9.5,80.125,5.05,43.0,23,138.0,8.19,4.97,0,23.933,85.057,1,0,Rounds 4-5,0,0.2097715706817104,15,12.396694214876034,62.5
2025,EDGE,DL,SEC,78.0,264,10.0,83.625,4.68,40.5,28,129.0,7.02,4.97,1,8.19,65.787,0,0,Rounds 2-3,0,0.19811161461235985,15,12.8099173553719,62.5
2024,EDGE,DL,Big Ten,76.375,247,9.625,81.0,4.74,34.5,23,123.0,7.42,4.6,1,25.618,85.731,1,0,Rounds 2-3,0,0.18534053297737502,15,13.223140495867769,62.5
2023,OT,OL,SEC,77.375,311,10.625,82.75,4.97,30.0,20,108.0,7.6,4.69,1,29.908,93.511,0,0,Round 1,1,0.18502762592121222,16,13.636363636363635,66.66666666666666
2025,EDGE,DL,SEC,76.0,254,9.625,81.5,4.73,30.43,23,138.0,6.65,4.97,1,14.834,76.206,0,0,Rounds 4-5,0,0.18360080212039748,16,14.049586776859504,66.66666666666666
2025,WR,Skill,Big 12,76.125,219,10.0,77.875,4.68,32.15,15,121.5,6.94,4.19,0,-3.385,38.477,0,1,Round 1,1,0.18157067763737203,17,14.46280991735537,70.83333333333334
2023,CB,Secondary,Big Ten,71.25,178,9.625,73.375,4.26,38.5,12,131.0,6.51,4.28,1,23.62,85.085,1,0,Rounds 2-3,0,0.17405538267280224,17,14.87603305785124,70.83333333333334
2023,EDGE,DL,SEC,75.75,247,10.125,82.25,4.48,30.0,23,123.0,7.35,4.45,1,29.908,93.511,0,0,Rounds 6-7,0,0.1719053849872889,17,15.289256198347106,70.83333333333334
2024,LB,LB,Pac-12,72.5,236,9.25,79.625,4.56,39.5,18,128.0,7.32,5.27,1,17.544,82.666,0,0,Rounds 4-5,0,0.17109513092474046,17,15.702479338842975,70.83333333333334
2024,OT,OL,FBS Independent,77.75,310,10.0,83.0,5.2,28.0,28,114.0,7.76,4.73,1,20.776,83.947,1,0,Rounds 2-3,0,0.15814598858650208,17,16.115702479338843,70.83333333333334
